Orthogroup,Size,Avg Length,GC Content,dN/dS,Function
OG0001,13,408,46.29733131906763,0.2864228314801551,Photosynthesis
OG0002,25,379,49.745609449599385,1.2368451566364715,Metabolism
OG0003,19,225,54.78091003131186,0.23670559879509329,Regulation
OG0004,17,482,53.40479712345837,0.10966380659793482,Transport
OG0005,19,494,56.13509206970411,0.17816278794648122,Other
OG0006,24,400,45.498552460024804,0.511710198532353,Photosynthesis
OG0007,8,414,53.41452321102852,0.15093520948410646,Metabolism
OG0008,22,451,46.88060823066039,0.15082767065070063,Regulation
OG0009,19,421,38.656291937089335,0.2825036230246317,Transport
OG0010,25,235,54.661081528467534,0.28088333816189925,Other
OG0011,12,200,53.861431910294456,0.28479049241611365,Photosynthesis
OG0012,8,251,57.42413420361955,0.17429198761345954,Metabolism
OG0013,13,463,42.68378063786639,0.15535421870148766,Regulation
OG0014,9,456,50.82029438361908,0.5396601982425961,Transport
OG0015,19,462,48.884644360547156,0.3778272942287555,Other
OG0016,18,462,55.71960740860597,0.21620947469517204,Photosynthesis
OG0017,16,463,43.053637192904716,0.16585313610309574,Metabolism
OG0018,19,233,48.73343457180406,0.7302177448259111,Regulation
OG0019,21,367,50.469187885448974,0.1440448535347421,Transport
OG0020,14,497,53.70796987859993,0.3630250673890316,Other
